stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1005O00054S0,VUIH,BRS 5: Central,,-22.90573,-43.19337,,,0,,,,
1005L00022S0,VUWS,"BRS 1,2,3: Central",,-22.90591,-43.19395,,,0,,,,
1005O00069S0,UD56,BRS 4: Tomé de Sousa,,-22.90371,-43.18711,,,0,,,,
1005O00004S0,2FMS,"BRS 2,4: Central",,-22.905275,-43.192459,,,0,,,,
1005O00019S0,X314,"BRS 5,I: Central",,-22.90609,-43.19353,,,0,,,,
1005O00025S0,XAUT,"BRS 3,4: Central",,-22.9059,-43.19296,,,0,,,,
1005O00056S0,XM63,"BRS 1,2: Central",,-22.90541,-43.19145,,,0,,,,
1005O00064S0,XRRU,BRS 2B: Praça da República,,-22.904784,-43.189485,,,0,,,,
1005O00150S0,YKD7,"BRS 5,I: Praça da República",,-22.90454,-43.18876,,,0,,,,
1005O00026S9,YSVN,"BRS 3,4: Passos",,-22.90344,-43.18532,,,0,,,,
1005O00057S0,YSXN,"BRS 1,2,5: Passos",,-22.90319,-43.18456,,,0,,,,
1005O00027S0,2GPU,BRS 4: Central,,-22.90562,-43.19151,,,0,,,,
1005O00060C0,2GJN,"BRS 4,5: General Caldwell",,-22.90623,-43.193405,,,0,,,,
1005O00061S0,2H9J,"BRS 1,2,3: Praça da República",,-22.90481,-43.189,,,0,,,,
1005O00094C0,,Aeroporto Santos Dumont,,-22.90988,-43.16846,,,0,,,,
1005O00013S0,MUVL,"BRS 4,5: Rua de Santana",,-22.90677,-43.19493,,,0,,,,
1005O00151S0,,Franklin Roosevelt,,-22.910264,-43.171781,,,0,,,,
1005O00068S0,,Almirante Barroso,,-22.907564,-43.172783,,,0,,,,
1005O00129P0,,Terminal Procópio Ferreira :: Plat. Norte,,-22.904565,-43.191892,,,0,1005O00377T9,,,Norte
1005O00076P0,,Terminal Rodoviário Menezes Cortes :: Plat. B,,-22.905406,-43.174822,,,0,tcxw,,,B
1005O00120C2,,Ponto Final: Candelária :: Linha 326,,-22.902564,-43.182057,,,0,,,,
