id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,civilians_dead,civilians_wounded,agents_dead,agents_wounded,men_dead,men_wounded,women_dead,women_wounded,kids_dead,kids_wounded,teenagers_dead,teenagers_wounded,elderly_dead,elderly_wounded
34649,"Complexo do Anaia - Sacramento, São Gonçalo - RJ, 24737-827, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,ANAIA GRANDE,,COMPLEXO DO ANAIA,-22.8462420000,-42.9631410000,"25/03/2020, 13:32:00",true,true,PM,Ação policial,,,false,0,2,0,0,0,0,0,0,0,0,0,0,0,0
34647,"Rua Clarimundo de Melo - Quintino Bocaiuva, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,QUINTINO BOCAIUVA,,,-22.8938868000,-43.3213901000,"25/03/2020, 14:00:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34651,"Vila Operária, Duque de Caxias - RJ, 25080-000, Brasil",Sudeste,Rio de Janeiro,Duque de Caxias,PARQUE DUQUE,VILA OPERARIA,,-22.7878983000,-43.2974671000,"25/03/2020, 16:45:00",true,true,PM,Ação policial,,,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34665,"Coelho, São Gonçalo - RJ, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,COELHO,,,-22.8358910000,-42.9910260000,"25/03/2020, 21:00:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34659,"Morro da Lagoinha - Jardim Olavo Bilac, Duque de Caxias - RJ, 25035-730, Brasil",Sudeste,Rio de Janeiro,Duque de Caxias,OLAVO BILAC,,MORRO DA LAGOINHA (COMPLEXO DA MANGUEIRINHA),-22.7667550000,-43.3137200000,"25/03/2020, 21:07:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34660,"Complexo da Penha - Penha, Rio de Janeiro - RJ, 21070-390, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PENHA,,COMPLEXO DA PENHA,-22.8442422000,-43.2803084000,"25/03/2020, 21:10:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34652,"Estrada da Posse - Campo Grande, Rio de Janeiro - RJ, 23088-130, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CAMPO GRANDE,,,-22.8846910000,-43.5516369000,"25/03/2020, 21:34:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34658,"Duque de Caxias, RJ, Brasil",Sudeste,Rio de Janeiro,Duque de Caxias,NI,,,-22.7862985000,-43.3053106000,"25/03/2020, 22:35:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34656,"Buro do Boi, Parque Flora, Nova Iguaçu - RJ, 26041-375, Brasil",Sudeste,Rio de Janeiro,Nova Iguaçu,PARQUE FLORA,,BURACO DO BOI,-22.7077940000,-43.4522670000,"25/03/2020, 23:10:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34661,"Morro do Andaraí - Andaraí, Rio de Janeiro - RJ, 20541-170, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,ANDARAI,,MORRO DO ANDARAI,-22.9330295000,-43.2557926000,"26/03/2020, 03:00:00",true,true,N�o identificado,Operação policial,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
